label,overall,mu_eff_cP,t_transform_min,t_gel_min,d_particle_um,SF_mech,porosity,k_rel,dT_max_K,coalescence_risk,status_viscosity,status_kinetics,status_diameter,status_mechanics,status_permeability,status_thermal,status_agglomeration,kinetics_flag,mechanics_unknown,notes,envelope,score
conservative,PASS,0.5011236538896975,48.27367611525425,26.818708952919028,273.0466868420546,1.414117942869614,0.92,0.851851851851852,0.001271908767421337,0.13330950031964267,PASS,PASS,PASS,PASS,PASS,PASS,PASS,near_calibration_Hu2018_80C,False,"T=70.0 C, φ=0.08, cat=1.0, inh=0.35, latency_extra=1.0. UNKNOWN never upgraded. kinetics_flag=near_calibration_Hu2018_80C.",conservative,90.85063354969977
nominal,PASS,0.5011236538896975,48.27367611525425,26.818708952919028,273.0466868420546,1.414117942869614,0.92,0.851851851851852,0.001271908767421337,0.13330950031964267,PASS,PASS,PASS,PASS,PASS,PASS,PASS,near_calibration_Hu2018_80C,False,"T=70.0 C, φ=0.08, cat=1.0, inh=0.35, latency_extra=1.0. UNKNOWN never upgraded. kinetics_flag=near_calibration_Hu2018_80C.",nominal,90.85063354969977
aggressive,PASS,0.5011236538896975,34.04040666271536,18.91133703484187,273.0466868420546,1.414117942869614,0.92,0.851851851851852,0.0018037302696143342,0.13330950031964267,PASS,PASS,PASS,PASS,PASS,PASS,PASS,near_calibration_Hu2018_80C,False,"T=70.0 C, φ=0.08, cat=1.0, inh=0.22, latency_extra=1.0. UNKNOWN never upgraded. kinetics_flag=near_calibration_Hu2018_80C.",aggressive,85.15732576868422
