case,centroid_x_m,centroid_y_m,chemgate_pathway,circularity,coalescence_events_cumulative,d_eq_um,deformation,droplet_id,mean_U_m_s,min_separation_m,n_droplets,pressure_drop_Pa,provenance,t_diff_min,t_post_trigger_particle_min,t_transform_min,time_s
phaseforge_channel,0.00849,0.0010875000000000001,PLAUSIBLE_CANDIDATE,0.5606649589987733,0,488.60251190292,0.43933504100122667,1,0.050012845038889336,0.0025107835485715965,4,2.4462741372499996,CFD_MODEL_PREDICTION,5.064566682681223,32.064566682681225,62.064566682681225,0.02
phaseforge_channel,0.0034666666666666665,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6265780361730334,0,478.73073648171925,0.3734219638269666,2,0.050012845038889336,0.0025107835485715965,4,2.4462741372499996,CFD_MODEL_PREDICTION,4.861984015373973,31.861984015373974,61.86198401537398,0.02
phaseforge_channel,0.010966666666666666,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6265780361730334,0,478.73073648171925,0.3734219638269666,3,0.050012845038889336,0.0025107835485715965,4,2.4462741372499996,CFD_MODEL_PREDICTION,4.861984015373973,31.861984015373974,61.86198401537398,0.02
phaseforge_channel,0.00599,0.0019125000000000001,PLAUSIBLE_CANDIDATE,0.5606649589987733,0,488.60251190292,0.43933504100122667,4,0.050012845038889336,0.0025107835485715965,4,2.4462741372499996,CFD_MODEL_PREDICTION,5.064566682681223,32.064566682681225,62.064566682681225,0.02
phaseforge_channel,0.009484615384615386,0.0010961538461538463,PLAUSIBLE_CANDIDATE,0.5830915573587242,0,498.278748516688,0.4169084426412758,1,0.050013482301303494,0.002498241985427247,4,1.9105894967500001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.04
phaseforge_channel,0.004450000000000001,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,2,0.050013482301303494,0.002498241985427247,4,1.9105894967500001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.04
phaseforge_channel,0.01195,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,3,0.050013482301303494,0.002498241985427247,4,1.9105894967500001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.04
phaseforge_channel,0.0069900000000000006,0.0019125000000000001,PLAUSIBLE_CANDIDATE,0.5606649589987733,0,488.60251190292,0.43933504100122667,4,0.050013482301303494,0.002498241985427247,4,1.9105894967500001,CFD_MODEL_PREDICTION,5.064566682681223,32.064566682681225,62.064566682681225,0.04
phaseforge_channel,0.010450000000000004,0.0010875,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,1,0.05001468232811765,0.002503448989237839,4,1.7771272500000004,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.06
phaseforge_channel,0.005410000000000001,0.0015015000000000002,PLAUSIBLE_CANDIDATE,0.6526854543469098,0,488.60251190292,0.34731454565309017,2,0.05001468232811765,0.002503448989237839,4,1.7771272500000004,CFD_MODEL_PREDICTION,5.064566682681223,32.064566682681225,62.064566682681225,0.06
phaseforge_channel,0.01291923076923077,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,3,0.05001468232811765,0.002503448989237839,4,1.7771272500000004,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.06
phaseforge_channel,0.00795,0.0019125000000000004,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,4,0.05001468232811765,0.002503448989237839,4,1.7771272500000004,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.06
phaseforge_channel,0.011450000000000005,0.0010875,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,1,0.05001638860226945,0.0024437302144694893,4,1.6030417667499999,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.08
phaseforge_channel,0.006353333333333334,0.0015300000000000003,PLAUSIBLE_CANDIDATE,0.6727979507985279,0,535.2372348458313,0.3272020492014721,2,0.05001638860226945,0.0024437302144694893,4,1.6030417667499999,CFD_MODEL_PREDICTION,6.077480019217463,33.07748001921746,63.07748001921746,0.08
phaseforge_channel,0.013853333333333336,0.0015300000000000003,PLAUSIBLE_CANDIDATE,0.6727979507985279,0,535.2372348458313,0.3272020492014721,3,0.05001638860226945,0.0024437302144694893,4,1.6030417667499999,CFD_MODEL_PREDICTION,6.077480019217463,33.07748001921746,63.07748001921746,0.08
phaseforge_channel,0.008950000000000001,0.0019125000000000004,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,4,0.05001638860226945,0.0024437302144694893,4,1.6030417667499999,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.08
phaseforge_channel_hpht,0.008472222222222223,0.0010875000000000001,PLAUSIBLE_CANDIDATE,0.6055181557186751,0,507.7706251929807,0.39448184428132493,1,0.05001256219879752,0.0025118795683808956,4,1.6882001975,CFD_MODEL_PREDICTION,5.46973201729572,32.46973201729572,62.46973201729572,0.02
phaseforge_channel_hpht,0.0034499999999999995,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,2,0.05001256219879752,0.0025118795683808956,4,1.6882001975,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.02
phaseforge_channel_hpht,0.010950000000000003,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,3,0.05001256219879752,0.0025118795683808956,4,1.6882001975,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.02
phaseforge_channel_hpht,0.0059722222222222225,0.0019125000000000004,PLAUSIBLE_CANDIDATE,0.6055181557186751,0,507.7706251929807,0.39448184428132493,4,0.05001256219879752,0.0025118795683808956,4,1.6882001975,CFD_MODEL_PREDICTION,5.46973201729572,32.46973201729572,62.46973201729572,0.02
phaseforge_channel_hpht,0.009443333333333335,0.0010925,PLAUSIBLE_CANDIDATE,0.6727979507985279,0,535.2372348458313,0.3272020492014721,1,0.05001336601804856,0.0025092079154752215,4,1.21241690025,CFD_MODEL_PREDICTION,6.077480019217463,33.07748001921746,63.07748001921746,0.04
phaseforge_channel_hpht,0.004419230769230769,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,2,0.05001336601804856,0.0025092079154752215,4,1.21241690025,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.04
phaseforge_channel_hpht,0.011919230769230772,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,3,0.05001336601804856,0.0025092079154752215,4,1.21241690025,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.04
phaseforge_channel_hpht,0.006950000000000001,0.0019125000000000004,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,4,0.05001336601804856,0.0025092079154752215,4,1.21241690025,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.04
phaseforge_channel_hpht,0.010400000000000001,0.0010875000000000001,PLAUSIBLE_CANDIDATE,0.4840379792197608,0,498.278748516688,0.5159620207802391,1,0.05001413619133992,0.0024844830951326682,4,1.1306249210000001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.06
phaseforge_channel_hpht,0.00535,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,2,0.05001413619133992,0.0024844830951326682,4,1.1306249210000001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.06
phaseforge_channel_hpht,0.012850000000000002,0.0015000000000000002,PLAUSIBLE_CANDIDATE,0.6787928725207862,0,498.278748516688,0.32120712747921376,3,0.05001413619133992,0.0024844830951326682,4,1.1306249210000001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.06
phaseforge_channel_hpht,0.0079,0.0019125000000000001,PLAUSIBLE_CANDIDATE,0.4840379792197608,0,498.278748516688,0.5159620207802391,4,0.05001413619133992,0.0024844830951326682,4,1.1306249210000001,CFD_MODEL_PREDICTION,5.267149349988472,32.26714934998847,62.26714934998847,0.06
phaseforge_channel_hpht,0.011350000000000002,0.0010875,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,1,0.05001544999201775,0.0024496512952846706,4,0.9972704432499998,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.08
phaseforge_channel_hpht,0.006260344827586207,0.0015245689655172417,PLAUSIBLE_CANDIDATE,0.650371352438577,0,526.2410103554245,0.349628647561423,2,0.05001544999201775,0.0024496512952846706,4,0.9972704432499998,CFD_MODEL_PREDICTION,5.874897351910218,32.87489735191022,62.87489735191022,0.08
phaseforge_channel_hpht,0.013760344827586203,0.0015245689655172417,PLAUSIBLE_CANDIDATE,0.650371352438577,0,526.2410103554245,0.349628647561423,3,0.05001544999201775,0.0024496512952846706,4,0.9972704432499998,CFD_MODEL_PREDICTION,5.874897351910218,32.87489735191022,62.87489735191022,0.08
phaseforge_channel_hpht,0.008850000000000002,0.0019125000000000004,PLAUSIBLE_CANDIDATE,0.6952245491584789,0,544.0847306724619,0.30477545084152113,4,0.05001544999201775,0.0024496512952846706,4,0.9972704432499998,CFD_MODEL_PREDICTION,6.280062686524716,33.280062686524715,63.280062686524715,0.08
