parameter,t_min_low,mu_low,SF_low,d_um_low,overall_low,low,high,t_min_high,mu_high,SF_high,d_um_high,overall_high,delta_t
nominal,78.40084329658413,0.6412899230349711,1.414117942869614,273.0466868420546,MARGINAL,,,,,,,,
temperature_C,487.9720143476905,0.9022620825586111,1.414117942869614,273.0466868420546,FAIL,40.0,90.0,7.365574184842397,0.4301342510317945,1.414117942869614,273.0466868420546,FAIL,480.6064401628481
catalyst_relative,206.90106588221758,0.6412899230349711,1.414117942869614,273.0466868420546,FAIL,0.5,2.0,29.708364253254565,0.6412899230349711,1.414117942869614,273.0466868420546,PASS,177.19270162896302
inhibitor_index,35.53254593851035,0.6412899230349711,1.414117942869614,273.0466868420546,PASS,0.05,0.45,136.39912795750746,0.6412899230349711,1.414117942869614,273.0466868420546,FAIL,100.86658201899711
phi,78.40084329658413,0.5797477129954276,1.414117942869614,273.0466868420546,MARGINAL,0.08,0.25,78.40084329658413,0.7208035046238477,1.414117942869614,273.0466868420546,MARGINAL,0.0
sigma_N_m,78.40084329658413,0.6412899230349711,1.414117942869614,180.14363164921008,MARGINAL,0.002,0.012,78.40084329658413,0.6412899230349711,1.414117942869614,527.8489524311658,MARGINAL,0.0
Tg_C,78.40084329658413,0.6412899230349711,1.414117942869614,273.0466868420546,MARGINAL,139.0,180.0,78.40084329658413,0.6412899230349711,1.414117942869614,273.0466868420546,MARGINAL,0.0
sigma_c_RT_MPa,78.40084329658413,0.6412899230349711,0.9064858608138552,273.0466868420546,FAIL,50.0,95.0,78.40084329658413,0.6412899230349711,1.7223231355463247,273.0466868420546,MARGINAL,0.0
shear_rate_1_s,78.40084329658413,0.6412899230349711,1.414117942869614,273.0466868420546,MARGINAL,150.0,1200.0,78.40084329658413,0.6412899230349711,1.414117942869614,273.0466868420546,MARGINAL,0.0
